1: : Sorry!  ; cur: 7, Avg: 7.000000
2: : Sorry!  ; cur: 1, Avg: 4.000000
3: : Sorry!  ; cur: 5, Avg: 4.333333
4: : Sorry!  ; cur: 2, Avg: 3.750000
5: : Sorry!  ; cur: 1, Avg: 3.200000
6: : Sorry!  ; cur: 10, Avg: 4.333333
7: : Sorry!  ; cur: 1, Avg: 3.857143
8: : Sorry!  ; cur: 2, Avg: 3.625000
9: : Sorry!  ; cur: 54, Avg: 9.222222
10: : Sorry!  ; cur: 5, Avg: 8.800000
11: : Sorry!  ; cur: 9, Avg: 8.818182
12: : Sorry!  ; cur: 9, Avg: 8.833333
13: : Sorry!  ; cur: 1, Avg: 8.230769
14: : Sorry!  ; cur: 2, Avg: 7.785714
15: : Sorry!  ; cur: 1, Avg: 7.333333
16: : Sorry!  ; cur: 5, Avg: 7.187500
17: : Sorry!  ; cur: 1, Avg: 6.823529
18: : Sorry!  ; cur: 25, Avg: 7.833333
19: : Sorry!  ; cur: 1, Avg: 7.473684
20: : Sorry!  ; cur: 1, Avg: 7.150000
21: : Sorry!  ; cur: 4, Avg: 7.000000
22: : Sorry!  ; cur: 1, Avg: 6.727273
23: : Sorry!  ; cur: 17, Avg: 7.173913
24: : Sorry!  ; cur: 1, Avg: 6.916667
25: : Sorry!  ; cur: 12, Avg: 7.120000
26: : Sorry!  ; cur: 6, Avg: 7.076923
27: : Sorry!  ; cur: 14, Avg: 7.333333
28: : Sorry!  ; cur: 1, Avg: 7.107143
29: : Sorry!  ; cur: 1, Avg: 6.896552
30: : Sorry!  ; cur: 1, Avg: 6.700000
31: : Sorry!  ; cur: 19, Avg: 7.096774
32: : Sorry!  ; cur: 27, Avg: 7.718750
33: : Sorry!  ; cur: 2, Avg: 7.545455
34: : Sorry!  ; cur: 1, Avg: 7.352941
35: : Sorry!  ; cur: 1, Avg: 7.171429
36: : Sorry!  ; cur: 32, Avg: 7.861111
37: : Sorry!  ; cur: 2, Avg: 7.702703
38: : Sorry!  ; cur: 4, Avg: 7.605263
39: : Sorry!  ; cur: 1, Avg: 7.435897
40: : Sorry!  ; cur: 4, Avg: 7.350000
41: : Sorry!  ; cur: 11, Avg: 7.439024
42: : Sorry!  ; cur: 22, Avg: 7.785714
43: : Sorry!  ; cur: 2, Avg: 7.651163
44: : Sorry!  ; cur: 1, Avg: 7.500000
45: : Sorry!  ; cur: 1, Avg: 7.355556
46: : Sorry!  ; cur: 3, Avg: 7.260870
47: : Sorry!  ; cur: 1, Avg: 7.127660
48: : Sorry!  ; cur: 15, Avg: 7.291667
49: : Sorry!  ; cur: 3, Avg: 7.204082
50: : Sorry!  ; cur: 13, Avg: 7.320000
51: : Sorry!  ; cur: 2, Avg: 7.215686
52: : Sorry!  ; cur: 1, Avg: 7.096154
53: : Sorry!  ; cur: 4, Avg: 7.037736
54: : Sorry!  ; cur: 3, Avg: 6.962963
55: : Sorry!  ; cur: 1, Avg: 6.854545
56: : Sorry!  ; cur: 1, Avg: 6.750000
57: : Sorry!  ; cur: 2, Avg: 6.666667
58: : Sorry!  ; cur: 2, Avg: 6.586207
59: : Sorry!  ; cur: 7, Avg: 6.593220
60: : Sorry!  ; cur: 1, Avg: 6.500000
61: : Sorry!  ; cur: 6, Avg: 6.491803
62: : Sorry!  ; cur: 1, Avg: 6.403226
63: : Sorry!  ; cur: 2, Avg: 6.333333
64: : Sorry!  ; cur: 4, Avg: 6.296875
65: : Sorry!  ; cur: 1, Avg: 6.215385
66: : Sorry!  ; cur: 2, Avg: 6.151515
67: : Sorry!  ; cur: 3, Avg: 6.104478
68: : Sorry!  ; cur: 4, Avg: 6.073529
69: : Sorry!  ; cur: 2, Avg: 6.014493
70: : Sorry!  ; cur: 1, Avg: 5.942857
71: : Sorry!  ; cur: 1, Avg: 5.873239
72: : Sorry!  ; cur: 1, Avg: 5.805556
73: : Sorry!  ; cur: 3, Avg: 5.767123
74: : Sorry!  ; cur: 8, Avg: 5.797297
75: : Sorry!  ; cur: 3, Avg: 5.760000
76: : Sorry!  ; cur: 1, Avg: 5.697368
77: : Sorry!  ; cur: 1, Avg: 5.636364
78: : Sorry!  ; cur: 2, Avg: 5.589744
79: : Sorry!  ; cur: 1, Avg: 5.531646
80: : Sorry!  ; cur: 1, Avg: 5.475000
81: : Sorry!  ; cur: 23, Avg: 5.691358
82: : Sorry!  ; cur: 1, Avg: 5.634146
83: : Sorry!  ; cur: 6, Avg: 5.638554
84: : Sorry!  ; cur: 1, Avg: 5.583333
85: : Sorry!  ; cur: 23, Avg: 5.788235
86: : Sorry!  ; cur: 1, Avg: 5.732558
87: : Sorry!  ; cur: 1, Avg: 5.678161
88: : Sorry!  ; cur: 6, Avg: 5.681818
89: : Sorry!  ; cur: 22, Avg: 5.865169
90: : Sorry!  ; cur: 2, Avg: 5.822222
91: : Sorry!  ; cur: 11, Avg: 5.879121
92: : Sorry!  ; cur: 2, Avg: 5.836957
93: : Sorry!  ; cur: 1, Avg: 5.784946
94: : Sorry!  ; cur: 7, Avg: 5.797872
95: : Sorry!  ; cur: 2, Avg: 5.757895
96: : Sorry!  ; cur: 5, Avg: 5.750000
97: : Sorry!  ; cur: 4, Avg: 5.731959
98: : Sorry!  ; cur: 1, Avg: 5.683673
99: : Sorry!  ; cur: 6, Avg: 5.686869
100: : Sorry!  ; cur: 3, Avg: 5.660000
101: : Sorry!  ; cur: 1, Avg: 5.613861
102: : Sorry!  ; cur: 2, Avg: 5.578431
103: : Sorry!  ; cur: 6, Avg: 5.582524
104: : Sorry!  ; cur: 2, Avg: 5.548077
105: : Sorry!  ; cur: 1, Avg: 5.504762
106: : Sorry!  ; cur: 2, Avg: 5.471698
107: : Sorry!  ; cur: 1, Avg: 5.429907
108: : Sorry!  ; cur: 12, Avg: 5.490741
109: : Sorry!  ; cur: 3, Avg: 5.467890
110: : Sorry!  ; cur: 2, Avg: 5.436364
111: : Sorry!  ; cur: 13, Avg: 5.504505
112: : Sorry!  ; cur: 1, Avg: 5.464286
113: : Sorry!  ; cur: 2, Avg: 5.433628
114: : Sorry!  ; cur: 4, Avg: 5.421053
115: : Sorry!  ; cur: 3, Avg: 5.400000
116: : Sorry!  ; cur: 1, Avg: 5.362069
117: : Sorry!  ; cur: 3, Avg: 5.341880
118: : Sorry!  ; cur: 6, Avg: 5.347458
119: : Sorry!  ; cur: 2, Avg: 5.319328
120: : Sorry!  ; cur: 6, Avg: 5.325000
121: : Sorry!  ; cur: 8, Avg: 5.347107
122: : Sorry!  ; cur: 5, Avg: 5.344262
123: : Sorry!  ; cur: 1, Avg: 5.308943
124: : Sorry!  ; cur: 3, Avg: 5.290323
125: : Sorry!  ; cur: 5, Avg: 5.288000
126: : Sorry!  ; cur: 4, Avg: 5.277778
127: : Sorry!  ; cur: 13, Avg: 5.338583
128: : Sorry!  ; cur: 13, Avg: 5.398438
129: : Sorry!  ; cur: 13, Avg: 5.457364
130: : Sorry!  ; cur: 3, Avg: 5.438462
131: : Sorry!  ; cur: 11, Avg: 5.480916
132: : Sorry!  ; cur: 1, Avg: 5.446970
133: : Sorry!  ; cur: 1, Avg: 5.413534
134: : Sorry!  ; cur: 1, Avg: 5.380597
135: : Sorry!  ; cur: 2, Avg: 5.355556
136: : Sorry!  ; cur: 1, Avg: 5.323529
137: : Sorry!  ; cur: 2, Avg: 5.299270
138: : Sorry!  ; cur: 6, Avg: 5.304348
139: : Sorry!  ; cur: 23, Avg: 5.431655
140: : Sorry!  ; cur: 2, Avg: 5.407143
141: : Sorry!  ; cur: 1, Avg: 5.375887
142: : Sorry!  ; cur: 2, Avg: 5.352113
143: : Sorry!  ; cur: 4, Avg: 5.342657
144: : Sorry!  ; cur: 1, Avg: 5.312500
145: : Sorry!  ; cur: 1, Avg: 5.282759
146: : Sorry!  ; cur: 1, Avg: 5.253425
147: : Sorry!  ; cur: 1, Avg: 5.224490
148: : Sorry!  ; cur: 4, Avg: 5.216216
149: : Sorry!  ; cur: 6, Avg: 5.221477
150: : Sorry!  ; cur: 2, Avg: 5.200000
151: : Sorry!  ; cur: 1, Avg: 5.172185
152: : Sorry!  ; cur: 17, Avg: 5.250000
153: : Sorry!  ; cur: 6, Avg: 5.254902
154: : Sorry!  ; cur: 9, Avg: 5.279221
155: : Sorry!  ; cur: 6, Avg: 5.283871
156: : Sorry!  ; cur: 10, Avg: 5.314103
157: : Sorry!  ; cur: 1, Avg: 5.286624
158: : Sorry!  ; cur: 7, Avg: 5.297468
159: : Sorry!  ; cur: 2, Avg: 5.276730
160: : Sorry!  ; cur: 2, Avg: 5.256250
161: : Sorry!  ; cur: 3, Avg: 5.242236
162: : Sorry!  ; cur: 4, Avg: 5.234568
163: : Sorry!  ; cur: 1, Avg: 5.208589
164: : Sorry!  ; cur: 1, Avg: 5.182927
165: : Sorry!  ; cur: 2, Avg: 5.163636
166: : Sorry!  ; cur: 1, Avg: 5.138554
167: : Sorry!  ; cur: 2, Avg: 5.119760
168: : Sorry!  ; cur: 2, Avg: 5.101190
169: : Sorry!  ; cur: 2, Avg: 5.082840
170: : Sorry!  ; cur: 1, Avg: 5.058824
171: : Sorry!  ; cur: 23, Avg: 5.163743
172: : Sorry!  ; cur: 1, Avg: 5.139535
173: : Sorry!  ; cur: 1, Avg: 5.115607
174: : Sorry!  ; cur: 9, Avg: 5.137931
175: : Sorry!  ; cur: 1, Avg: 5.114286
176: : Sorry!  ; cur: 1, Avg: 5.090909
177: : Sorry!  ; cur: 13, Avg: 5.135593
178: : Sorry!  ; cur: 2, Avg: 5.117978
179: : Sorry!  ; cur: 6, Avg: 5.122905
180: : Sorry!  ; cur: 5, Avg: 5.122222
181: : Sorry!  ; cur: 10, Avg: 5.149171
182: : Sorry!  ; cur: 1, Avg: 5.126374
183: : Sorry!  ; cur: 1, Avg: 5.103825
184: : Sorry!  ; cur: 1, Avg: 5.081522
185: : Sorry!  ; cur: 1, Avg: 5.059459
186: : Sorry!  ; cur: 2, Avg: 5.043011
187: : Sorry!  ; cur: 1, Avg: 5.021390
188: : Sorry!  ; cur: 18, Avg: 5.090426
189: : Sorry!  ; cur: 3, Avg: 5.079365
190: : Sorry!  ; cur: 2, Avg: 5.063158
191: : Sorry!  ; cur: 1, Avg: 5.041885
192: : Sorry!  ; cur: 1, Avg: 5.020833
193: : Sorry!  ; cur: 14, Avg: 5.067358
194: : Sorry!  ; cur: 11, Avg: 5.097938
195: : Sorry!  ; cur: 1, Avg: 5.076923
196: : Sorry!  ; cur: 2, Avg: 5.061224
197: : Sorry!  ; cur: 1, Avg: 5.040609
198: : Sorry!  ; cur: 3, Avg: 5.030303
199: : Sorry!  ; cur: 3, Avg: 5.020101
200: : Sorry!  ; cur: 1, Avg: 5.000000
201: : Sorry!  ; cur: 4, Avg: 4.995025
202: : Sorry!  ; cur: 3, Avg: 4.985149
203: : Sorry!  ; cur: 16, Avg: 5.039409
204: : Sorry!  ; cur: 1, Avg: 5.019608
