1: Sorry!  ; cur: 3, Avg: 3.000000
2: Sorry!  ; cur: 2, Avg: 2.500000
3: Sorry!  ; cur: 1, Avg: 2.000000
4: Sorry!  ; cur: 5, Avg: 2.750000
5: Sorry!  ; cur: 2, Avg: 2.600000
6: Sorry!  ; cur: 2, Avg: 2.500000
7: Sorry!  ; cur: 2, Avg: 2.428571
8: Sorry!  ; cur: 4, Avg: 2.625000
9: Sorry!  ; cur: 1, Avg: 2.444444
10: Sorry!  ; cur: 1, Avg: 2.300000
11: Sorry!  ; cur: 4, Avg: 2.454545
12: Sorry!  ; cur: 1, Avg: 2.333333
13: Sorry!  ; cur: 5, Avg: 2.538462
14: Sorry!  ; cur: 7, Avg: 2.857143
15: Sorry!  ; cur: 13, Avg: 3.533333
16: Sorry!  ; cur: 8, Avg: 3.812500
17: Sorry!  ; cur: 14, Avg: 4.411765
18: Sorry!  ; cur: 3, Avg: 4.333333
19: Sorry!  ; cur: 2, Avg: 4.210526
20: Sorry!  ; cur: 6, Avg: 4.300000
21: Sorry!  ; cur: 2, Avg: 4.190476
22: Sorry!  ; cur: 25, Avg: 5.136364
23: Sorry!  ; cur: 1, Avg: 4.956522
24: Sorry!  ; cur: 4, Avg: 4.916667
25: Sorry!  ; cur: 1, Avg: 4.760000
26: Sorry!  ; cur: 4, Avg: 4.730769
27: Sorry!  ; cur: 1, Avg: 4.592593
28: Sorry!  ; cur: 2, Avg: 4.500000
29: Sorry!  ; cur: 4, Avg: 4.482759
30: Sorry!  ; cur: 4, Avg: 4.466667
31: Sorry!  ; cur: 9, Avg: 4.612903
32: Sorry!  ; cur: 1, Avg: 4.500000
33: Sorry!  ; cur: 1, Avg: 4.393939
34: Sorry!  ; cur: 12, Avg: 4.617647
35: Sorry!  ; cur: 4, Avg: 4.600000
36: Sorry!  ; cur: 1, Avg: 4.500000
37: Sorry!  ; cur: 2, Avg: 4.432432
38: Sorry!  ; cur: 5, Avg: 4.447368
39: Sorry!  ; cur: 4, Avg: 4.435897
40: Sorry!  ; cur: 3, Avg: 4.400000
41: Sorry!  ; cur: 4, Avg: 4.390244
42: Sorry!  ; cur: 1, Avg: 4.309524
43: Sorry!  ; cur: 7, Avg: 4.372093
44: Sorry!  ; cur: 1, Avg: 4.295455
45: Sorry!  ; cur: 2, Avg: 4.244444
46: Sorry!  ; cur: 1, Avg: 4.173913
47: Sorry!  ; cur: 2, Avg: 4.127660
48: Sorry!  ; cur: 4, Avg: 4.125000
49: Sorry!  ; cur: 4, Avg: 4.122449
50: Sorry!  ; cur: 2, Avg: 4.080000
51: Sorry!  ; cur: 6, Avg: 4.117647
52: Sorry!  ; cur: 9, Avg: 4.211538
53: Sorry!  ; cur: 8, Avg: 4.283019
54: Sorry!  ; cur: 1, Avg: 4.222222
55: Sorry!  ; cur: 7, Avg: 4.272727
56: Sorry!  ; cur: 1, Avg: 4.214286
57: Sorry!  ; cur: 11, Avg: 4.333333
58: Sorry!  ; cur: 3, Avg: 4.310345
59: Sorry!  ; cur: 6, Avg: 4.338983
60: Sorry!  ; cur: 1, Avg: 4.283333
61: Sorry!  ; cur: 2, Avg: 4.245902
62: Sorry!  ; cur: 5, Avg: 4.258065
63: Sorry!  ; cur: 1, Avg: 4.206349
64: Sorry!  ; cur: 4, Avg: 4.203125
65: Sorry!  ; cur: 1, Avg: 4.153846
66: Sorry!  ; cur: 1, Avg: 4.106061
67: Sorry!  ; cur: 5, Avg: 4.119403
68: Sorry!  ; cur: 18, Avg: 4.323529
69: Sorry!  ; cur: 1, Avg: 4.275362
70: Sorry!  ; cur: 4, Avg: 4.271429
71: Sorry!  ; cur: 6, Avg: 4.295775
72: Sorry!  ; cur: 19, Avg: 4.500000
73: Sorry!  ; cur: 3, Avg: 4.479452
74: Sorry!  ; cur: 2, Avg: 4.445946
75: Sorry!  ; cur: 2, Avg: 4.413333
76: Sorry!  ; cur: 4, Avg: 4.407895
77: Sorry!  ; cur: 4, Avg: 4.402597
78: Sorry!  ; cur: 16, Avg: 4.551282
79: Sorry!  ; cur: 5, Avg: 4.556962
80: Sorry!  ; cur: 4, Avg: 4.550000
81: Sorry!  ; cur: 5, Avg: 4.555556
82: Sorry!  ; cur: 1, Avg: 4.512195
83: Sorry!  ; cur: 1, Avg: 4.469880
84: Sorry!  ; cur: 2, Avg: 4.440476
85: Sorry!  ; cur: 2, Avg: 4.411765
86: Sorry!  ; cur: 1, Avg: 4.372093
87: Sorry!  ; cur: 2, Avg: 4.344828
88: Sorry!  ; cur: 1, Avg: 4.306818
89: Sorry!  ; cur: 3, Avg: 4.292135
90: Sorry!  ; cur: 11, Avg: 4.366667
91: Sorry!  ; cur: 1, Avg: 4.329670
92: Sorry!  ; cur: 3, Avg: 4.315217
93: Sorry!  ; cur: 3, Avg: 4.301075
94: Sorry!  ; cur: 6, Avg: 4.319149
95: Sorry!  ; cur: 8, Avg: 4.357895
96: Sorry!  ; cur: 4, Avg: 4.354167
97: Sorry!  ; cur: 2, Avg: 4.329897
98: Sorry!  ; cur: 5, Avg: 4.336735
99: Sorry!  ; cur: 4, Avg: 4.333333
100: Sorry!  ; cur: 1, Avg: 4.300000
101: Sorry!  ; cur: 1, Avg: 4.267327
102: Sorry!  ; cur: 2, Avg: 4.245098
103: Sorry!  ; cur: 2, Avg: 4.223301
104: Sorry!  ; cur: 3, Avg: 4.211538
105: Sorry!  ; cur: 1, Avg: 4.180952
106: Sorry!  ; cur: 1, Avg: 4.150943
107: Sorry!  ; cur: 2, Avg: 4.130841
108: Sorry!  ; cur: 3, Avg: 4.120370
109: Sorry!  ; cur: 3, Avg: 4.110092
110: Sorry!  ; cur: 1, Avg: 4.081818
111: Sorry!  ; cur: 7, Avg: 4.108108
112: Sorry!  ; cur: 1, Avg: 4.080357
113: Sorry!  ; cur: 3, Avg: 4.070796
114: Sorry!  ; cur: 7, Avg: 4.096491
115: Sorry!  ; cur: 4, Avg: 4.095652
116: Sorry!  ; cur: 6, Avg: 4.112069
117: Sorry!  ; cur: 1, Avg: 4.085470
118: Sorry!  ; cur: 1, Avg: 4.059322
119: Sorry!  ; cur: 11, Avg: 4.117647
120: Sorry!  ; cur: 3, Avg: 4.108333
121: Sorry!  ; cur: 32, Avg: 4.338843
122: Sorry!  ; cur: 1, Avg: 4.311475
123: Sorry!  ; cur: 10, Avg: 4.357724
124: Sorry!  ; cur: 2, Avg: 4.338710
125: Sorry!  ; cur: 8, Avg: 4.368000
126: Sorry!  ; cur: 1, Avg: 4.341270
127: Sorry!  ; cur: 1, Avg: 4.314961
128: Sorry!  ; cur: 1, Avg: 4.289063
129: Sorry!  ; cur: 2, Avg: 4.271318
130: Sorry!  ; cur: 2, Avg: 4.253846
131: Sorry!  ; cur: 1, Avg: 4.229008
132: Sorry!  ; cur: 1, Avg: 4.204545
133: Sorry!  ; cur: 1, Avg: 4.180451
134: Sorry!  ; cur: 6, Avg: 4.194030
135: Sorry!  ; cur: 2, Avg: 4.177778
136: Sorry!  ; cur: 6, Avg: 4.191176
137: Sorry!  ; cur: 1, Avg: 4.167883
138: Sorry!  ; cur: 11, Avg: 4.217391
139: Sorry!  ; cur: 1, Avg: 4.194245
140: Sorry!  ; cur: 4, Avg: 4.192857
141: Sorry!  ; cur: 2, Avg: 4.177305
142: Sorry!  ; cur: 5, Avg: 4.183099
143: Sorry!  ; cur: 2, Avg: 4.167832
144: Sorry!  ; cur: 4, Avg: 4.166667
145: Sorry!  ; cur: 1, Avg: 4.144828
146: Sorry!  ; cur: 7, Avg: 4.164384
147: Sorry!  ; cur: 2, Avg: 4.149660
148: Sorry!  ; cur: 2, Avg: 4.135135
149: Sorry!  ; cur: 1, Avg: 4.114094
150: Sorry!  ; cur: 38, Avg: 4.340000
151: Sorry!  ; cur: 1, Avg: 4.317881
152: Sorry!  ; cur: 1, Avg: 4.296053
153: Sorry!  ; cur: 3, Avg: 4.287582
154: Sorry!  ; cur: 7, Avg: 4.305195
155: Sorry!  ; cur: 3, Avg: 4.296774
156: Sorry!  ; cur: 5, Avg: 4.301282
157: Sorry!  ; cur: 5, Avg: 4.305732
158: Sorry!  ; cur: 4, Avg: 4.303797
159: Sorry!  ; cur: 6, Avg: 4.314465
160: Sorry!  ; cur: 1, Avg: 4.293750
161: Sorry!  ; cur: 5, Avg: 4.298137
162: Sorry!  ; cur: 1, Avg: 4.277778
163: Sorry!  ; cur: 1, Avg: 4.257669
164: Sorry!  ; cur: 1, Avg: 4.237805
165: Sorry!  ; cur: 1, Avg: 4.218182
