1: Sorry!  ; cur: 5, Avg: 5.000000
2: Sorry!  ; cur: 3, Avg: 4.000000
3: Sorry!  ; cur: 2, Avg: 3.333333
4: Sorry!  ; cur: 8, Avg: 4.500000
5: Sorry!  ; cur: 2, Avg: 4.000000
6: Sorry!  ; cur: 3, Avg: 3.833333
7: Sorry!  ; cur: 2, Avg: 3.571429
8: Sorry!  ; cur: 7, Avg: 4.000000
9: Sorry!  ; cur: 3, Avg: 3.888889
10: Sorry!  ; cur: 6, Avg: 4.100000
11: Sorry!  ; cur: 3, Avg: 4.000000
12: Sorry!  ; cur: 1, Avg: 3.750000
13: Sorry!  ; cur: 4, Avg: 3.769231
14: Sorry!  ; cur: 31, Avg: 5.714286
15: Sorry!  ; cur: 1, Avg: 5.400000
16: Sorry!  ; cur: 1, Avg: 5.125000
17: Sorry!  ; cur: 1, Avg: 4.882353
18: Sorry!  ; cur: 2, Avg: 4.722222
19: Sorry!  ; cur: 5, Avg: 4.736842
20: Sorry!  ; cur: 3, Avg: 4.650000
21: Sorry!  ; cur: 11, Avg: 4.952381
22: Sorry!  ; cur: 2, Avg: 4.818182
23: Sorry!  ; cur: 1, Avg: 4.652174
24: Sorry!  ; cur: 1, Avg: 4.500000
25: Sorry!  ; cur: 4, Avg: 4.480000
26: Sorry!  ; cur: 4, Avg: 4.461538
27: Sorry!  ; cur: 5, Avg: 4.481481
28: Sorry!  ; cur: 1, Avg: 4.357143
29: Sorry!  ; cur: 3, Avg: 4.310345
30: Sorry!  ; cur: 2, Avg: 4.233333
31: Sorry!  ; cur: 5, Avg: 4.258065
32: Sorry!  ; cur: 3, Avg: 4.218750
33: Sorry!  ; cur: 2, Avg: 4.151515
34: Sorry!  ; cur: 1, Avg: 4.058824
35: Sorry!  ; cur: 2, Avg: 4.000000
36: Sorry!  ; cur: 1, Avg: 3.916667
37: Sorry!  ; cur: 17, Avg: 4.270270
38: Sorry!  ; cur: 11, Avg: 4.447368
39: Sorry!  ; cur: 3, Avg: 4.410256
40: Sorry!  ; cur: 1, Avg: 4.325000
41: Sorry!  ; cur: 3, Avg: 4.292683
42: Sorry!  ; cur: 2, Avg: 4.238095
43: Sorry!  ; cur: 1, Avg: 4.162791
44: Sorry!  ; cur: 2, Avg: 4.113636
45: Sorry!  ; cur: 2, Avg: 4.066667
